,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.7,0.6,0.8,1.0,0.9,1.1,74.8,74.3,75.3,62.0,61.5,62.6,13.9,13.5,14.3,14.6,14.2,15.0,10.7,10.3,11.0,22.4,21.9,22.9," 29,815 "," 26,831 ",96.7,96.0
E12000002,North West,0.9,0.8,0.9,1.2,1.2,1.3,76.0,75.7,76.2,63.5,63.2,63.9,13.4,13.2,13.7,14.6,14.4,14.9,9.8,9.6,10.0,20.6,20.3,20.9," 84,461 "," 76,020 ",96.3,94.6
E12000003,Yorkshire and The Humber,0.9,0.8,0.9,1.3,1.2,1.4,76.8,76.4,77.1,64.1,63.7,64.5,13.0,12.7,13.2,14.3,14.1,14.6,9.4,9.2,9.7,20.3,20.0,20.6," 63,196 "," 56,645 ",95.8,94.5
E12000004,East Midlands,1.2,1.1,1.3,1.5,1.4,1.6,76.9,76.5,77.2,65.2,64.8,65.7,12.8,12.5,13.1,14.3,14.0,14.6,9.1,8.9,9.4,19.0,18.7,19.4," 52,490 "," 45,535 ",95.8,93.2
E12000005,West Midlands,1.1,1.0,1.2,1.5,1.4,1.6,75.6,75.3,75.9,61.9,61.5,62.3,12.9,12.7,13.2,14.5,14.2,14.8,10.4,10.2,10.7,22.1,21.8,22.4," 69,942 "," 61,619 ",97.5,95.6
E12000006,East,0.8,0.8,0.9,1.3,1.2,1.3,78.3,78.0,78.6,67.1,66.7,67.5,12.5,12.3,12.8,14.1,13.8,14.4,8.3,8.1,8.5,17.6,17.3,17.9," 70,473 "," 60,092 ",96.2,93.4
E12000007,London,1.5,1.5,1.6,1.6,1.5,1.7,76.5,76.3,76.8,60.3,60.0,60.7,11.7,11.5,11.9,14.9,14.7,15.1,10.2,10.0,10.4,23.2,22.9,23.5," 98,066 "," 84,294 ",94.2,94.5
E12000008,South East,0.8,0.7,0.8,1.2,1.1,1.3,78.4,78.1,78.6,68.0,67.7,68.3,12.8,12.6,13.0,13.7,13.5,13.9,8.1,7.9,8.2,17.1,16.9,17.4," 99,625 "," 84,918 ",95.0,93.6
E12000009,South West,0.6,0.5,0.7,1.1,1.0,1.2,77.5,77.1,77.8,68.6,68.2,69.0,13.4,13.2,13.7,14.0,13.7,14.4,8.5,8.2,8.7,16.3,16.0,16.6," 57,258 "," 48,661 ",94.6,90.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England,1.0,0.9,1.0,1.3,1.3,1.4,76.9,76.8,77.0,64.5,64.4,64.6,12.8,12.7,12.9,14.3,14.2,14.4,9.3,9.2,9.4,19.8,19.7,19.9,"625,326","544,615",95.6,94.0
