ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
E12000003,Yorkshire and The Humber,0.9,0.8,1.0,1.3,1.3,1.4,75.4,75.1,75.8,63.6,63.2,63.9,13.5,13.2,13.7,14.1,13.8,14.4,10.2,10.0,10.5,21.0,20.7,21.3,2.7,2.6,2.8,4.7,4.5,4.9," 59,859 "," 61,076 "
E12000004,East Midlands,1.0,1.0,1.1,1.5,1.4,1.6,76.3,75.9,76.7,64.9,64.5,65.3,13.4,13.1,13.7,13.9,13.6,14.2,9.3,9.1,9.6,19.7,19.3,20.0,2.2,2.1,2.3,4.3,4.1,4.5," 50,758 "," 52,063 "
E12000005,West Midlands,1.0,0.9,1.1,1.4,1.4,1.5,75.2,74.9,75.5,61.1,60.7,61.4,13.2,12.9,13.4,14.5,14.3,14.8,10.6,10.4,10.8,23.0,22.6,23.3,2.9,2.8,3.0,5.3,5.2,5.5," 67,549 "," 67,815 "
E12000006,East,1.0,0.9,1.1,1.4,1.3,1.5,78.0,77.7,78.3,67.2,66.8,67.5,12.3,12.1,12.6,13.4,13.2,13.7,8.7,8.5,8.9,18.0,17.7,18.3,2.1,2.0,2.2,3.5,3.3,3.6," 68,482 "," 66,968 "
E12000007,London,1.6,1.5,1.7,1.7,1.6,1.8,76.6,76.4,76.9,60.3,60.0,60.7,11.6,11.4,11.8,14.7,14.5,14.9,10.2,10.0,10.4,23.2,23.0,23.5,2.9,2.8,3.0,5.4,5.2,5.5," 93,143 "," 94,426 "
E12000008,South East,0.7,0.7,0.8,1.4,1.3,1.4,78.1,77.8,78.4,68.3,68.0,68.6,12.7,12.4,12.9,13.5,13.3,13.7,8.5,8.4,8.7,16.8,16.6,17.0,1.9,1.8,2.0,3.2,3.0,3.3," 94,144 "," 94,030 "
E12000009,South West,0.6,0.6,0.7,1.2,1.1,1.3,77.4,77.0,77.7,68.9,68.5,69.3,13.3,13.0,13.6,13.4,13.1,13.7,8.7,8.5,9.0,16.5,16.2,16.9,1.9,1.8,2.0,3.2,3.0,3.3," 54,063 "," 53,010 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England,1.0,0.9,1.0,1.4,1.4,1.4,76.5,76.3,76.6,64.3,64.2,64.4,12.9,12.8,13.0,14.1,14.0,14.2,9.7,9.6,9.8,20.2,20.1,20.3,2.4,2.4,2.5,4.4,4.3,4.4,"597,812","600,449"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
