,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese (inclduing serverely obese),,,,,,Serverely obese,,,,,,Number of children measured,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000031,Waltham Forest,1.7,1.3,2.2,1.6,1.2,2.1,76.0,74.6,77.4,58.6,56.8,60.3,12.9,11.8,14.1,15.4,14.2,16.8,9.4,8.5,10.4,24.3,22.9,25.9,2.6,2.2,3.2,5.2,4.4,6.0," 3,402 "," 3,064 "
E09000032,Wandsworth,1.3,0.9,1.8,1.7,1.3,2.4,79.9,78.3,81.3,65.3,63.4,67.3,11.2,10.1,12.5,13.4,12.1,14.8,7.6,6.7,8.7,19.5,18.0,21.2,2.0,1.5,2.6,4.6,3.8,5.5," 2,750 "," 2,300 "
E09000033,Westminster,1.1,0.6,1.9,1.3,0.8,2.1,80.5,78.2,82.7,59.6,57.0,62.1,10.5,8.9,12.4,16.2,14.4,18.3,7.9,6.5,9.5,22.9,20.7,25.2,2.4,1.7,3.5,5.0,3.9,6.3," 1,196 "," 1,368 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.6,0.5,0.7,1.1,0.9,1.2,74.4,73.9,74.9,61.4,60.9,62.0,14.1,13.7,14.5,14.7,14.3,15.1,10.9,10.6,11.3,22.8,22.3,23.3,2.8,2.6,3.0,5.2,5.0,5.5," 28,699 "," 27,596 "
E12000002,North West,0.8,0.8,0.9,1.2,1.2,1.3,75.2,75.0,75.5,63.3,62.9,63.6,13.7,13.5,14.0,14.5,14.3,14.8,10.2,10.0,10.4,21.0,20.7,21.2,2.6,2.5,2.7,4.5,4.3,4.6," 83,198 "," 79,410 "
E12000003,Yorkshire and The Humber,0.9,0.9,1.0,1.5,1.4,1.6,76.1,75.8,76.5,63.8,63.4,64.2,13.0,12.7,13.3,14.1,13.8,14.4,10.0,9.7,10.2,20.6,20.3,21.0,2.5,2.4,2.6,4.5,4.3,4.7," 62,425 "," 58,811 "
E12000004,East Midlands,0.9,0.8,1.0,1.4,1.3,1.6,75.7,75.3,76.1,64.4,64.0,64.8,13.5,13.2,13.8,14.3,14.0,14.6,9.9,9.6,10.2,19.9,19.5,20.3,2.4,2.3,2.5,4.0,3.8,4.2," 51,402 "," 48,606 "
E12000005,West Midlands,1.2,1.1,1.3,1.5,1.4,1.6,75.4,75.1,75.8,61.4,61.0,61.8,12.9,12.7,13.2,14.6,14.3,14.9,10.4,10.2,10.7,22.5,22.2,22.9,2.9,2.7,3.0,5.1,4.9,5.3," 69,225 "," 65,184 "
E12000006,East,0.9,0.9,1.0,1.5,1.4,1.6,78.5,78.1,78.8,66.8,66.5,67.2,12.2,12.0,12.4,13.9,13.6,14.1,8.4,8.2,8.6,17.8,17.5,18.1,2.0,1.9,2.1,3.4,3.2,3.5," 69,527 "," 64,077 "
